           t           x           y          x'          y'
  0.000e+000  0.000e+000  0.000e+000  1.273e+002  1.273e+002
  2.000e-001  2.546e+001  2.526e+001  1.273e+002  1.253e+002
  4.000e-001  5.091e+001  5.013e+001  1.273e+002  1.234e+002
  6.000e-001  7.637e+001  7.460e+001  1.273e+002  1.214e+002
  8.000e-001  1.018e+002  9.868e+001  1.273e+002  1.194e+002
  1.000e+000  1.273e+002  1.224e+002  1.273e+002  1.175e+002
  1.200e+000  1.527e+002  1.457e+002  1.273e+002  1.155e+002
  1.400e+000  1.782e+002  1.686e+002  1.273e+002  1.135e+002
  1.600e+000  2.036e+002  1.911e+002  1.273e+002  1.116e+002
  1.800e+000  2.291e+002  2.132e+002  1.273e+002  1.096e+002
  2.000e+000  2.546e+002  2.349e+002  1.273e+002  1.077e+002
  2.200e+000  2.800e+002  2.563e+002  1.273e+002  1.057e+002
  2.400e+000  3.055e+002  2.772e+002  1.273e+002  1.037e+002
  2.600e+000  3.309e+002  2.978e+002  1.273e+002  1.018e+002
  2.800e+000  3.564e+002  3.179e+002  1.273e+002  9.981e+001
  3.000e+000  3.818e+002  3.377e+002  1.273e+002  9.785e+001
  3.200e+000  4.073e+002  3.571e+002  1.273e+002  9.589e+001
  3.400e+000  4.327e+002  3.760e+002  1.273e+002  9.393e+001
  3.600e+000  4.582e+002  3.946e+002  1.273e+002  9.196e+001
  3.800e+000  4.837e+002  4.128e+002  1.273e+002  9.000e+001
  4.000e+000  5.091e+002  4.306e+002  1.273e+002  8.804e+001
  4.200e+000  5.346e+002  4.480e+002  1.273e+002  8.608e+001
  4.400e+000  5.600e+002  4.651e+002  1.273e+002  8.412e+001
  4.600e+000  5.855e+002  4.817e+002  1.273e+002  8.215e+001
  4.800e+000  6.109e+002  4.979e+002  1.273e+002  8.019e+001
  5.000e+000  6.364e+002  5.138e+002  1.273e+002  7.823e+001
  5.200e+000  6.619e+002  5.292e+002  1.273e+002  7.627e+001
  5.400e+000  6.873e+002  5.443e+002  1.273e+002  7.431e+001
  5.600e+000  7.128e+002  5.589e+002  1.273e+002  7.234e+001
  5.800e+000  7.382e+002  5.732e+002  1.273e+002  7.038e+001
  6.000e+000  7.637e+002  5.871e+002  1.273e+002  6.842e+001
  6.200e+000  7.891e+002  6.006e+002  1.273e+002  6.646e+001
  6.400e+000  8.146e+002  6.137e+002  1.273e+002  6.450e+001
  6.600e+000  8.400e+002  6.264e+002  1.273e+002  6.253e+001
  6.800e+000  8.655e+002  6.387e+002  1.273e+002  6.057e+001
  7.000e+000  8.910e+002  6.506e+002  1.273e+002  5.861e+001
  7.200e+000  9.164e+002  6.621e+002  1.273e+002  5.665e+001
  7.400e+000  9.419e+002  6.733e+002  1.273e+002  5.469e+001
  7.600e+000  9.673e+002  6.840e+002  1.273e+002  5.272e+001
  7.800e+000  9.928e+002  6.944e+002  1.273e+002  5.076e+001
  8.000e+000  1.018e+003  7.043e+002  1.273e+002  4.880e+001
  8.200e+000  1.044e+003  7.139e+002  1.273e+002  4.684e+001
  8.400e+000  1.069e+003  7.230e+002  1.273e+002  4.488e+001
  8.600e+000  1.095e+003  7.318e+002  1.273e+002  4.291e+001
  8.800e+000  1.120e+003  7.402e+002  1.273e+002  4.095e+001
  9.000e+000  1.146e+003  7.482e+002  1.273e+002  3.899e+001
  9.200e+000  1.171e+003  7.558e+002  1.273e+002  3.703e+001
  9.400e+000  1.196e+003  7.630e+002  1.273e+002  3.507e+001
  9.600e+000  1.222e+003  7.698e+002  1.273e+002  3.310e+001
  9.800e+000  1.247e+003  7.763e+002  1.273e+002  3.114e+001
  1.000e+001  1.273e+003  7.823e+002  1.273e+002  2.918e+001
  1.020e+001  1.298e+003  7.879e+002  1.273e+002  2.722e+001
  1.040e+001  1.324e+003  7.932e+002  1.273e+002  2.526e+001
  1.060e+001  1.349e+003  7.980e+002  1.273e+002  2.329e+001
  1.080e+001  1.375e+003  8.025e+002  1.273e+002  2.133e+001
  1.100e+001  1.400e+003  8.066e+002  1.273e+002  1.937e+001
  1.120e+001  1.426e+003  8.102e+002  1.273e+002  1.741e+001
  1.140e+001  1.451e+003  8.135e+002  1.273e+002  1.545e+001
  1.160e+001  1.476e+003  8.164e+002  1.273e+002  1.348e+001
  1.180e+001  1.502e+003  8.189e+002  1.273e+002  1.152e+001
